sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
7851446,-0.047422308,-0.02352472,0.050788857,-0.06924399,0.014596027,-0.100294195,0.78588295,0.055544987,-0.584872305,0.19294332,-0.027317123,0.043023258,-0.053858317,-0.003797292,-0.007965247,-0.12949799,0.590515494,-0.01714774,-0.805604219,0.044712383
7851613,9.232268333,-1.343788385,3.112496138,0.69706887,-1.295669675,0.360479534,0.785940766,0.055192161,-0.584951103,0.192570433,9.305053711,-0.921022177,-2.913550377,-0.222049326,1.97340095,0.9737885,0.590751112,-0.017159274,-0.805419862,0.044917464
7851780,9.228347778,-1.329202414,3.14122653,0.33678776,-1.47506094,0.380047619,0.786309361,0.055029586,-0.584560096,0.192299545,9.228485107,-0.924592614,-2.877271891,-0.295237571,1.81073463,0.982099771,0.591025054,-0.017547065,-0.805206656,0.044987556
7851946,9.242368698,-1.332127452,3.081113577,-0.021309765,-1.281249642,0.459216475,0.786788344,0.055032838,-0.583958626,0.192166373,9.170024872,-0.949063182,-2.879488945,-0.268305808,1.139246464,0.986825228,0.591194212,-0.016970333,-0.805046976,0.04583624
7852113,9.244493484,-1.344720483,3.066260338,-0.276540339,-1.550259829,0.467604637,0.787006855,0.054953553,-0.58376956,0.191868633,9.160869598,-0.951717377,-2.875991821,-0.196129262,0.199964777,0.95418191,0.591175914,-0.017063279,-0.805031717,0.046303276
7852280,9.227610588,-1.344308615,3.002691746,-0.184949324,-1.04180944,0.597140908,0.787066519,0.054905403,-0.583735704,0.191740617,9.195476532,-0.943373203,-2.859114885,-0.024895543,-0.578181148,0.921525717,0.591018856,-0.016868319,-0.805113673,0.0469491
7852446,9.253979683,-1.344109297,2.95774579,-0.011756229,-0.782877803,0.73693496,0.786960781,0.054931145,-0.583866596,0.191768363,9.213828087,-0.95502919,-2.892307281,0.177015767,-1.301727057,0.833622873,0.5908553,-0.017020613,-0.805214107,0.047231779
7852613,9.237119675,-1.3624717,2.935330868,0.09032958,-0.70323503,0.681163251,0.786738753,0.055023845,-0.584128499,0.191855609,9.244309425,-0.957461596,-2.906665564,0.325018764,-1.661316395,0.835223734,0.59065032,-0.017387882,-0.805351913,0.047310662
7853113,9.252915382,-1.377942681,3.001354694,0.466951549,-0.744356275,0.845123112,0.785966754,0.055024367,-0.585117877,0.192004517,9.302292824,-0.976149797,-2.934281111,0.615108132,-1.761628509,0.905825138,0.59041363,-0.01745479,-0.8055076,0.047591191
7853280,9.249483109,-1.376226544,3.044315577,0.552766919,-0.912234724,0.693611085,0.785763979,0.054972708,-0.585391343,0.192015871,9.316591263,-0.984395385,-2.944090366,0.964375794,-1.529769659,0.987299025,0.590212762,-0.017728589,-0.805640161,0.047734898
7853446,9.243163109,-1.390394092,3.031298399,0.291414917,-1.162342787,0.812338769,0.785570741,0.05489672,-0.585648119,0.192045778,9.287607193,-0.985152245,-2.952030182,1.083128929,-1.442980886,1.028202653,0.590005755,-0.017741259,-0.805771649,0.048070267
7853613,9.277277946,-1.377476811,2.989787102,0.027949857,-0.839046359,0.82510674,0.785415828,0.054810107,-0.585840106,0.192117602,9.259370804,-0.965195835,-2.984670877,1.262443662,-1.273002505,1.187500715,0.589814365,-0.017807312,-0.805890918,0.048390776
7853780,9.266876221,-1.365542293,3.000987053,0.097398691,-0.934146285,0.570375681,0.785266757,0.054754011,-0.586032867,0.192155272,9.252058983,-0.932952881,-2.992624044,1.124109268,-1.301265836,0.890201271,0.589601099,-0.017826948,-0.806030571,0.048657682
7853946,9.268298149,-1.324873209,3.002500057,0.293886483,-1.00849998,0.36768949,0.785119474,0.054762244,-0.58621341,0.192204192,9.238085747,-0.957808793,-2.994547844,0.733797491,-1.153583169,0.44674316,0.589400828,-0.017899346,-0.806170106,0.04874596
7854113,9.256443024,-1.32929945,2.98615098,0.382339984,-0.928793252,0.561526418,0.78500104,0.054723058,-0.586376786,0.192200795,9.288410187,-0.951556563,-3.009619951,0.53590095,-0.768304169,0.308677882,0.589235365,-0.01790832,-0.806285501,0.048832268
7854280,9.246629715,-1.366102934,3.011686087,0.257606119,-0.922415674,0.743350923,0.784870744,0.054707535,-0.586533129,0.192260295,9.307297707,-0.954003334,-2.985049486,0.54934752,-0.293905735,0.505805969,0.589118421,-0.017856019,-0.806363046,0.04898268
7854446,9.249544144,-1.372656345,2.993397713,-0.024575386,-1.126228809,0.644012153,0.784748673,0.054633413,-0.58671248,0.192232907,9.287431717,-0.972628236,-2.991636753,0.445603341,0.018088967,0.665770054,0.589055419,-0.017989587,-0.806404591,0.049009591
7854613,9.253899574,-1.377245307,2.990278244,-0.109046064,-1.246569991,0.557415605,0.784608781,0.054601975,-0.586897492,0.192247406,9.237074852,-0.955780745,-2.979213238,0.422628731,0.180691198,0.650505006,0.589019716,-0.018185131,-0.806427598,0.048987459
7854780,9.251708984,-1.357092023,2.985486984,-0.10063231,-1.24393189,0.431273073,0.784471154,0.054593921,-0.587075472,0.192268178,9.213765144,-0.951403439,-2.964704514,0.263010383,0.237039164,0.481909394,0.588990271,-0.018294103,-0.806446671,0.048986692
7854946,9.253228188,-1.368064761,2.950062275,0.166207209,-1.132196665,0.428340405,0.78434813,0.054601986,-0.587230563,0.192294121,9.209716797,-0.945005596,-2.9691782,0.223707706,0.059261389,0.198146239,0.58894974,-0.018420413,-0.806477427,0.048918162
7855113,9.266783714,-1.351728678,2.92845583,0.563575447,-0.986024916,0.458051175,0.784237146,0.054636192,-0.587360263,0.192341045,9.230441093,-0.957869232,-2.955549479,0.069404006,-0.193145365,0.082325615,0.588882208,-0.018523078,-0.806529701,0.048833285
7855280,9.281591415,-1.380292058,2.939037323,0.81925422,-0.833821476,0.710707605,0.784118652,0.054705631,-0.58746767,0.192476794,9.265899658,-0.955043674,-2.991365194,0.199017078,-0.321516186,0.032726627,0.588800073,-0.018507591,-0.806590021,0.048832577
7855446,9.272174835,-1.372231007,2.951958179,0.776442587,-0.766460061,0.530458212,0.784022987,0.054742932,-0.587572277,0.192536235,9.290989876,-0.940692723,-2.984538078,0.358789057,-0.138014019,0.251010805,0.588742852,-0.018547811,-0.806630611,0.048836183
7855613,9.268130302,-1.369552374,2.993855476,0.660634696,-0.680503786,0.696236372,0.783925354,0.054769613,-0.587668836,0.192631468,9.299645424,-0.949375629,-2.982223988,0.386975884,0.030306229,0.442850024,0.58870697,-0.018589128,-0.806653798,0.048869714
7855780,9.263637543,-1.382258892,2.974340916,0.484944463,-0.818159282,0.694584429,0.783824146,0.054769766,-0.587781966,0.192697689,9.293103218,-0.935857832,-2.976463318,0.401344627,0.361824214,0.484893292,0.58871305,-0.01862761,-0.80664593,0.048912197
7855946,9.257586479,-1.368878007,2.981560946,0.558760285,-0.834692299,0.739406645,0.783716261,0.054790303,-0.587890863,0.192798391,9.267658234,-0.954363823,-2.973501205,0.290838569,0.330013216,0.921628177,0.588715017,-0.018714054,-0.806638002,0.04898541
7856113,9.268846512,-1.37250483,2.977970839,0.323020905,-0.810283363,0.798802376,0.78362304,0.054747447,-0.588003516,0.192845628,9.258310318,-0.965445817,-2.976931095,0.481000125,0.23282586,1.166831493,0.588708162,-0.018831382,-0.806634068,0.049088337
7856280,9.288638115,-1.389410377,2.952275991,0.121692337,-0.592408955,0.855675459,0.783546865,0.054681614,-0.588093996,0.192898735,9.250954628,-0.957548738,-2.952697754,0.5140149,0.066330492,1.253479123,0.588683784,-0.018970774,-0.806642234,0.04919314
7856446,9.267450333,-1.390043139,2.941508532,-0.03775312,-0.300232053,0.793590367,0.783498526,0.054593835,-0.588155031,0.192933917,9.240633965,-0.964932203,-2.956411362,0.647034466,-0.113566719,1.263186455,0.588639557,-0.019062782,-0.806663275,0.049341425
7856613,9.261686325,-1.391008139,2.962792158,0.000800397,-0.318365872,0.816795349,0.783438683,0.054535221,-0.588214695,0.19301112,9.256100655,-0.979421556,-2.956032038,0.619103789,-0.112657465,1.3008883,0.588592649,-0.019086082,-0.806684494,0.049545787
7856780,9.258645058,-1.405834317,2.969934464,0.096809588,-0.437733799,0.859863102,0.783384442,0.054435231,-0.588288903,0.193033069,9.270055771,-1.001162767,-2.967198133,0.723052859,0.067751989,1.301758885,0.58857131,-0.019134963,-0.806686878,0.049739759
7856947,9.250703812,-1.395796657,2.948361397,0.104711123,-0.408317655,0.943232477,0.783319771,0.054362345,-0.588355243,0.193113759,9.258321762,-0.983314216,-2.950292587,0.893992066,0.264495939,1.172453284,0.588573992,-0.019124519,-0.806671083,0.049968213
7857113,9.258160591,-1.406154037,2.955086708,0.203909114,-0.399365991,0.923715532,0.783255935,0.054301448,-0.588417053,0.193201199,9.261769295,-0.988808334,-2.970340967,0.944410682,0.4842529,1.152500987,0.588612318,-0.019230789,-0.806631565,0.050112344
7857280,9.256620407,-1.415968895,2.959158182,0.396977603,-0.376378596,0.794589162,0.783194363,0.054279909,-0.588468313,0.193301558,9.25189209,-1.003110647,-2.986130953,1.048859358,0.505140066,1.055300951,0.588652074,-0.019273153,-0.806590319,0.050293215
7857447,9.235168457,-1.394115806,2.950968504,0.366216779,-0.404629409,0.860951662,0.783134162,0.054233037,-0.588524759,0.193386659,9.249072075,-0.988731921,-2.956066847,0.888101101,0.833712578,0.938135564,0.588734031,-0.019376257,-0.806521297,0.050403375
7857613,9.228138924,-1.406753421,2.974811792,0.622177184,-0.548969805,0.967013717,0.783059359,0.054204218,-0.58859086,0.193496674,9.233062744,-0.996164918,-2.959496021,0.893095613,0.79516542,0.90496707,0.58880955,-0.019423308,-0.806455731,0.050549846
7857780,9.250640869,-1.393505573,2.973601818,0.598178148,-0.41501534,0.914290071,0.782996833,0.054178968,-0.588639498,0.193608552,9.238916397,-1.021407723,-2.942407608,1.007353902,0.698247015,0.814541399,0.58886677,-0.019316185,-0.806400895,0.050800223
7857947,9.245454788,-1.397905469,2.971709728,0.585448682,-0.142086446,0.899511576,0.782963872,0.054132037,-0.5886572,0.193701297,9.255475998,-1.014439583,-2.930911779,1.11796236,0.649582863,0.811288655,0.588927686,-0.019329721,-0.806345284,0.050969955
7858113,9.256278992,-1.389563441,2.9658885,0.575318813,0.2121948,0.682661593,0.7829687,0.054091405,-0.588631928,0.193769976,9.320579529,-0.996463597,-2.925732851,1.186437964,0.786662102,0.860196173,0.589002788,-0.019290857,-0.806277394,0.051191688
7858280,9.24685955,-1.397319794,2.999522209,0.592492104,0.044892658,0.650223136,0.782970667,0.054029867,-0.588626921,0.193793967,9.3273592,-1.000338197,-2.911275148,1.002525926,1.037564039,0.74851191,0.589109123,-0.019244362,-0.806188166,0.051389959
7858447,9.239224434,-1.407670736,2.988140345,0.268491536,-0.306955367,0.766991496,0.78293401,0.053959224,-0.588667691,0.193837911,9.262246132,-0.983549297,-2.914310694,0.740290344,1.308610439,0.861143887,0.58924377,-0.019166179,-0.806077063,0.051616929
7858613,9.263401031,-1.416294575,2.943256855,-0.042030435,-0.484835595,0.736998975,0.782888591,0.053853706,-0.588736415,0.193841666,9.253029823,-1.013882875,-2.917510033,0.58610177,0.860810876,0.984456122,0.589328468,-0.019153301,-0.806003332,0.05180661
7858780,9.269668579,-1.403972507,2.993056536,0.042549092,-0.3693223,0.544096947,0.782866716,0.053743232,-0.588791013,0.19379504,9.171769142,-0.997491896,-2.889153957,0.548489571,0.616721809,0.905107975,0.589387238,-0.019154651,-0.805949688,0.051970273
7858947,9.245786667,-1.383452535,2.919573069,0.380867213,-0.398072541,0.469102949,0.782831907,0.053711288,-0.588834524,0.193811983,9.159693718,-1.008182883,-2.921743393,0.327759296,0.0207783,0.664054036,0.589376986,-0.019124547,-0.80594939,0.052102212
7859113,9.226934433,-1.426175714,2.852799654,0.195175171,0.323661298,0.796817482,0.782849967,0.053612784,-0.588804245,0.19385843,9.205259323,-1.021239638,-2.931740284,0.401677549,-0.801242113,0.749587655,0.589268386,-0.01907493,-0.806019485,0.052265443
7859280,9.332536697,-1.430890441,2.889288425,0.766299903,-0.205631554,0.356010139,0.782840192,0.053597648,-0.5888201,0.193854049,9.232801437,-1.014728785,-2.954461098,0.377345502,-1.19383359,0.509161234,0.589120388,-0.01907631,-0.806122243,0.052348506
7859447,9.290018082,-1.400617599,2.981048346,1.062024117,-1.231650829,0.118465148,0.782735825,0.053694405,-0.588942051,0.193878472,9.319218636,-1.00139606,-2.973813772,-0.042850044,-1.119415879,-0.011679391,0.588980436,-0.01900957,-0.806224585,0.052369513
7859613,9.253486633,-1.401201367,2.996289492,0.771806717,-0.946222723,0.354012311,0.782663047,0.053697564,-0.589043498,0.193863243,9.345223427,-1.025613308,-2.97891283,-0.158004746,-0.405077636,-0.139294669,0.588927567,-0.018984305,-0.806266129,0.052333307
7859780,9.248325348,-1.395325303,2.987358809,0.803630531,-0.500280082,0.433501393,0.782626987,0.053685125,-0.589092493,0.193863675,9.361834526,-1.000605226,-2.964722395,0.084874086,-0.042465858,-0.06164977,0.588915467,-0.018919921,-0.806275368,0.052353475
7859947,9.245594025,-1.364763141,3.004628897,0.523350656,-0.162371695,0.447012037,0.782611012,0.053665228,-0.589106679,0.193890482,9.338932991,-0.970260799,-2.959558249,0.074808285,0.517715931,0.065856658,0.58898145,-0.019073034,-0.806231081,0.052236542
7860113,9.222717285,-1.38438201,3.035081148,0.40651831,-0.254833519,0.533006668,0.782587051,0.053627744,-0.589133739,0.193915457,9.225797653,-0.935448706,-2.87757349,-0.280535877,0.750624955,0.339246571,0.589144647,-0.019000238,-0.806108892,0.052307725
7860280,9.254380226,-1.388444543,2.970433474,0.344433188,-0.186678156,0.502476335,0.78256762,0.053596701,-0.589151144,0.193948969,9.215542793,-0.951767623,-2.881761312,-0.520168245,0.558145523,0.539153695,0.589202106,-0.019097732,-0.806066811,0.052274622
7860447,9.254813194,-1.39858675,2.96126771,0.215614095,-0.156621665,0.284217715,0.782559514,0.053565957,-0.58916688,0.193942294,9.216765404,-0.950695992,-2.891148329,-0.598530352,0.184878841,0.696197987,0.589210033,-0.019136013,-0.806058109,0.052305046
7860613,9.228570938,-1.40314281,2.965788126,-0.037048772,0.256274283,0.295512944,0.782592535,0.053482153,-0.589143753,0.193902701,9.20790863,-0.987205327,-2.896080494,-0.655902863,-0.203031868,0.80451417,0.589179993,-0.019306485,-0.806079507,0.05225182
7860780,9.22444725,-1.404165626,2.933323145,0.209659129,0.344484389,0.447229713,0.782622337,0.053425964,-0.589102924,0.193922043,9.217233658,-0.996629179,-2.904571056,-0.423800528,-0.668158412,0.840000451,0.589096487,-0.01946209,-0.806138217,0.052226931
7860947,9.238195419,-1.427647233,2.916868925,0.252739698,0.140095055,0.514296591,0.782636046,0.053362954,-0.589085877,0.193935648,9.214504242,-1.010820031,-2.944043875,-0.230181322,-1.134552956,1.039651513,0.588953912,-0.019563263,-0.806236148,0.052285474
7861113,9.238869667,-1.405184507,2.917205572,0.283910364,0.146318927,0.486391544,0.782650113,0.05330674,-0.589067459,0.193950653,9.268973351,-1.02095592,-2.96767354,0.084553927,-1.352670908,0.878086627,0.588785827,-0.019591026,-0.806351781,0.052387062
7861280,9.268177032,-1.421796322,2.912405968,0.378241956,0.238140494,0.521967649,0.782669485,0.053256623,-0.589036644,0.193979695,9.326100349,-1.005276561,-2.977309704,0.242571473,-1.440240622,0.746526957,0.588608086,-0.019584909,-0.806474328,0.052499827
7861447,9.295432091,-1.416463971,2.945414543,0.437957883,0.355228901,0.34357515,0.782696486,0.053244837,-0.588988543,0.194020286,9.285556793,-1.034243584,-2.950859547,0.394185871,-1.146475673,0.547093689,0.588466108,-0.019537169,-0.806571484,0.052617565
7861780,9.258414268,-1.405038238,2.978823423,0.320152313,0.084784426,0.4853158,0.78272754,0.053163156,-0.588946402,0.194044784,9.295145988,-1.021365643,-2.978637695,0.581555426,-0.930048287,0.483740628,0.588358939,-0.019592799,-0.806645334,0.052660771
7861947,9.28600502,-1.402330995,2.984870672,0.477760047,-0.087083168,0.34813422,0.782746792,0.053077269,-0.588954687,0.193965375,9.23531723,-1.000616193,-2.946311951,0.609447837,-0.875032246,0.444041014,0.588255703,-0.019599592,-0.806715786,0.052734595
7862113,9.282793045,-1.378030658,2.951844454,0.493934542,-0.573775709,0.125495836,0.782720506,0.05305773,-0.58901304,0.193899736,9.213706017,-0.939444721,-2.943403006,0.16285193,-1.154428363,0.141388506,0.588113189,-0.01949425,-0.806817114,0.052812956
7862280,9.247249603,-1.362320423,2.946419239,0.581043303,-0.23328045,0.23724401,0.782714844,0.053043798,-0.589029908,0.193875164,9.229187012,-0.943632901,-2.963929415,-0.353109479,-1.378462553,-0.031631682,0.587954998,-0.019571701,-0.806938112,0.052697618
7862447,9.26742363,-1.379250169,2.934893608,0.616657734,-0.113822833,0.314171731,0.782721162,0.053012535,-0.589033902,0.193847016,9.230628967,-0.956820726,-2.967222452,-0.774259031,-1.636664271,0.245107129,0.587756813,-0.019619334,-0.807085931,0.052626077
7862613,9.252971649,-1.408993483,2.942864656,0.364948958,-0.48495084,0.38483718,0.782691598,0.05296867,-0.589086831,0.193816453,9.265425682,-0.962231874,-2.973654509,-0.967135489,-1.72098124,0.604005039,0.587544262,-0.019707566,-0.807241857,0.052574318
7862780,9.248958588,-1.402953029,2.956303596,0.25682497,-0.520526886,0.349197119,0.782652438,0.05294209,-0.589144588,0.193806246,9.252706528,-0.970576167,-2.973242044,-1.08372426,-1.540373087,0.718660235,0.587359071,-0.0199317,-0.807380021,0.052436434
7862947,9.254740715,-1.384611249,2.964128733,0.183482945,-0.367132396,0.277763277,0.78263545,0.052889753,-0.58918798,0.193757147,9.256556511,-0.983752608,-2.981313467,-1.165761828,-1.450741649,0.688219607,0.587176919,-0.020045035,-0.807514131,0.052368995
7863113,9.226400375,-1.394835234,2.950092077,0.149597362,-0.409636676,0.230226144,0.782619715,0.052830335,-0.589237273,0.193687499,9.211013794,-0.9949947,-2.966399431,-1.028132319,-1.391179562,0.539806902,0.587005079,-0.020157833,-0.807641804,0.052283574
7863280,9.247707367,-1.389824986,2.954508781,0.493639916,-0.283647835,0.138174102,0.782605588,0.052841961,-0.589259326,0.193674132,9.225287437,-1.017174125,-2.994290829,-1.004786134,-1.530192256,0.236898288,0.586815178,-0.020167351,-0.807783484,0.052222412
7863447,9.267501831,-1.380166531,2.933122158,0.865766823,-0.367542207,0.112202831,0.782591164,0.05287407,-0.589282453,0.193653509,9.219748497,-0.98494339,-2.996911764,-0.712750256,-1.632220626,-0.072932176,0.586623311,-0.020221801,-0.807929754,0.052092098
7863613,9.270079613,-1.394571781,2.951835871,0.887076616,-0.434122413,0.197185755,0.782564878,0.052914083,-0.589312553,0.193657428,9.258194923,-0.998412907,-3.019289494,-0.483452529,-1.695138216,-0.079834789,0.586418748,-0.020165041,-0.808082342,0.052053563
7863780,9.263471603,-1.390303731,2.975602388,0.967308342,-0.555078387,0.15497604,0.782518983,0.052999977,-0.589351118,0.193701491,9.250691414,-0.977519095,-3.005558729,-0.186319605,-1.62070775,0.079597868,0.586228788,-0.020199275,-0.808223188,0.051992986
7863947,9.28007412,-1.379683375,2.955441475,0.950109541,-0.76729244,0.29112035,0.782470226,0.053022318,-0.589419842,0.193683311,9.268034935,-0.957044482,-3.001474619,-0.11605113,-1.640826225,0.268670768,0.586030364,-0.020176711,-0.808366537,0.052009013
7864113,9.273486137,-1.384471893,2.961818695,0.615953386,-0.641341984,0.270105124,0.782427609,0.053029411,-0.589481294,0.193666831,9.286148071,-0.941830695,-3.026396513,-0.141510174,-1.660624981,0.39390415,0.585831821,-0.020214334,-0.808510005,0.052000459
7864280,9.283050537,-1.387071371,2.973838091,0.449381202,-0.466420025,0.267889619,0.782406628,0.052996933,-0.589528799,0.193615645,9.279380798,-0.932956696,-3.009054899,-0.184449852,-1.466224551,0.590276659,0.585660279,-0.020367995,-0.808634579,0.051938396
7864447,9.262126923,-1.384292603,2.998399496,0.285101354,-0.379644215,0.324455291,0.782381356,0.052974403,-0.589568019,0.193604469,9.274116516,-0.944639683,-2.997553349,-0.155161738,-1.246762156,0.83083117,0.585507572,-0.0204667,-0.808741271,0.051957756
7864613,9.261590958,-1.377064586,2.972078562,0.256312698,-0.471747518,0.360210568,0.782355249,0.052925602,-0.589620113,0.193564326,9.242843628,-0.942612231,-2.994773626,-0.287092745,-1.226374507,0.823928535,0.585356355,-0.020559963,-0.808847487,0.05197157
7864780,9.255661011,-1.377050757,2.979281187,0.393174171,-0.593766391,0.309164494,0.782315373,0.052913163,-0.589680433,0.193545476,9.252258301,-0.945564568,-3.007363558,-0.291946352,-1.240679264,0.909218788,0.585212588,-0.020803379,-0.808950603,0.051890429
7864947,9.279240608,-1.38796711,2.945380211,0.341590166,-0.692029476,0.409182072,0.782273114,0.052864533,-0.589755774,0.193500251,9.252837181,-0.978645802,-2.997260332,-0.24804619,-1.150855541,0.831279397,0.585077941,-0.020997584,-0.809046566,0.051832907
7865113,9.245033264,-1.373969197,2.961798668,0.404200405,-0.820016205,0.483177125,0.782205105,0.05285769,-0.589841366,0.193516567,9.245815277,-0.961309552,-3.033544302,-0.23322925,-1.006041288,0.815079331,0.584960401,-0.021183109,-0.809130132,0.051779956
7865280,9.238203049,-1.371467233,2.986564159,0.31267339,-1.009844661,0.445769787,0.782122493,0.052849945,-0.589950383,0.19352001,9.237474442,-0.971016109,-3.012845516,-0.162128404,-0.997192025,0.742646694,0.584836841,-0.021231327,-0.809215903,0.051816765
7865447,9.244184494,-1.37792778,2.995066166,0.323635697,-0.986485958,0.577393532,0.782046437,0.052808117,-0.590058863,0.193508297,9.247023582,-0.975954354,-3.0270648,0.11271508,-0.86901325,0.558273613,0.584732473,-0.021261923,-0.809288383,0.051850226
7865613,9.257360458,-1.364328742,2.980138779,0.459344596,-1.076745152,0.660890937,0.781948805,0.052810218,-0.590170801,0.193560183,9.25110054,-0.969127774,-3.021909237,0.240804225,-0.829979539,0.579442501,0.58463645,-0.021335755,-0.809354961,0.051863063
7865780,9.262361526,-1.374508142,2.962633848,0.352501154,-1.116329432,0.529612899,0.781866372,0.052771553,-0.590292335,0.193533123,9.252368927,-0.953362167,-3.011870146,0.307589263,-0.673114538,0.595809042,0.584564149,-0.021480465,-0.809405267,0.051831298
7865947,9.268321037,-1.378179431,2.965220928,0.174928337,-1.092010379,0.610856473,0.781779706,0.052722804,-0.590414882,0.193522856,9.261815071,-0.953467548,-3.043709278,0.250088781,-0.544974208,0.640605569,0.584511578,-0.021708714,-0.809442818,0.051743407
7866113,9.268829346,-1.379682541,2.971216679,0.056969047,-1.205679417,0.54719615,0.78169024,0.052657191,-0.59055382,0.193478003,9.266089439,-0.949527383,-3.014048338,0.085296705,-0.35901323,0.799583733,0.584469795,-0.021825105,-0.809469283,0.051752854
7866280,9.228629112,-1.38999486,2.982208014,0.160521194,-1.372622967,0.407043457,0.781591713,0.052615326,-0.59070766,0.193417907,9.273695946,-0.962614775,-3.020721912,0.035633672,0.04584033,0.933576524,0.584469676,-0.02188294,-0.809463322,0.051824179
7866447,9.262123108,-1.383597255,2.9684093,0.168204993,-1.271913767,0.531943738,0.781485438,0.052601375,-0.590846717,0.193426579,9.275022507,-0.963226318,-3.023511648,0.028807884,0.328540474,0.731005669,0.584509015,-0.021987697,-0.809431911,0.051826403
7866613,9.260816574,-1.384721756,2.956575394,0.037477784,-1.377566218,0.624469638,0.781385064,0.052517973,-0.591005921,0.19336836,9.20128727,-0.952836096,-3.02191925,0.03612031,0.325402945,0.998005152,0.584545672,-0.022112368,-0.809399724,0.051859893
7866780,9.280137062,-1.387935877,2.942593336,0.065024242,-1.393535614,0.700577736,0.78126806,0.052472107,-0.59116292,0.193373784,9.197107315,-0.958854437,-3.022523642,0.020342885,-0.116204813,0.9565382,0.58453548,-0.022301648,-0.80940336,0.051836763
7866947,9.301728249,-1.390391231,2.90725112,0.286049038,-1.522867203,0.712436497,0.781138957,0.052451864,-0.591328382,0.193395138,9.131100655,-0.976761699,-2.993093967,0.124330439,-0.621069551,0.937200665,0.584458292,-0.022351524,-0.809452951,0.051914118
7867113,9.284274101,-1.388913512,2.856754541,0.525668681,-1.184869051,0.750496924,0.781031251,0.05245994,-0.591448069,0.19346194,9.126199722,-1.003533363,-3.017901897,0.163978919,-1.372584581,0.814259708,0.584303021,-0.022519445,-0.809562027,0.051886309
7867280,9.284558296,-1.416148424,2.811765671,0.307653368,-1.011957884,0.902252197,0.78094089,0.052409951,-0.591556966,0.193506941,9.145742416,-0.996521711,-3.048416376,0.360159397,-2.256235361,0.962762117,0.584038854,-0.02261902,-0.809746265,0.051941805
7867447,9.320505142,-1.395343065,2.858893156,0.487736225,-1.680013776,0.499466807,0.780807078,0.052419126,-0.59173584,0.193497553,9.186901093,-0.98455584,-3.069094181,0.507214725,-2.793077946,0.622996926,0.583712935,-0.022639746,-0.809976816,0.052003421
7867613,9.298840523,-1.392402053,2.882392645,0.598421514,-2.247053385,0.319063812,0.780630171,0.052466691,-0.59197557,0.193464756,9.282109261,-0.970061541,-3.099295378,0.324839473,-2.661774158,0.386361182,0.583402932,-0.022644218,-0.810198426,0.052026056
7867780,9.286670685,-1.404459596,2.913264036,0.418774068,-1.747874618,0.607360363,0.780481935,0.052478585,-0.592164099,0.193482935,9.293148994,-0.988193691,-3.102222681,0.212169185,-1.884018898,0.437535346,0.583190799,-0.022775203,-0.810351849,0.051961526
7867947,9.263010979,-1.392249227,2.930918694,0.543648779,-1.488366842,0.575639129,0.780362248,0.052481353,-0.5923208,0.193485618,9.319077492,-0.96981895,-3.111209869,0.253853858,-1.313278317,0.671199977,0.58303827,-0.022847217,-0.810458183,0.051981162
7868113,9.257346153,-1.376204014,2.954350471,0.381059378,-1.555945873,0.725780666,0.780237734,0.052443292,-0.592491388,0.193476066,9.267306328,-0.938371241,-3.107029915,0.200246483,-0.828301847,0.758039832,0.582939565,-0.0228986,-0.810524821,0.052027211
7868280,9.26699543,-1.386034846,2.927614927,0.385938525,-1.833677053,0.762227535,0.780085742,0.052420154,-0.592692018,0.193480834,9.233599663,-0.952866912,-3.099317789,-0.052339554,-0.543027639,0.915750027,0.582866907,-0.022910751,-0.810571194,0.052112225
7868447,9.280711174,-1.383178711,2.912664652,0.247309834,-1.556112528,0.836376369,0.779961765,0.052351948,-0.592866242,0.193464756,9.207778931,-0.975741208,-3.061419487,-0.11903502,-0.358091146,1.039190412,0.58282584,-0.023110803,-0.810597122,0.05207957
7868613,9.274195671,-1.39785707,2.875165701,0.043202225,-1.317658186,0.705316186,0.779856741,0.052288108,-0.593015969,0.193446517,9.179279327,-0.982644498,-3.072229862,-0.270098716,-0.345054239,1.015255213,0.582777977,-0.023195781,-0.810626805,0.052116401
7868780,9.266000748,-1.402724981,2.864335775,0.034020066,-0.727515876,0.754646242,0.779805183,0.052190404,-0.593100309,0.19342199,9.180395126,-0.974943042,-3.068040371,-0.244524434,-0.43325159,1.121881127,0.5827232,-0.023356304,-0.810661495,0.052116875
7868947,9.266122818,-1.405848026,2.841397524,-0.02297459,-0.526725173,0.716329515,0.779763103,0.05211331,-0.593160748,0.193426698,9.182994843,-0.998340428,-3.070157051,-0.089209028,-0.396817535,1.004062653,0.582674325,-0.023491159,-0.81069231,0.052124258
7869113,9.253023148,-1.408713102,2.849189997,0.14803502,-0.975101173,0.820483625,0.779690027,0.052022293,-0.593271255,0.193407148,9.150849342,-1.005674243,-3.074404955,0.104980052,-0.640048563,0.955488086,0.582598388,-0.023607912,-0.81074208,0.052146826
